# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20210919
# End date: 20210925

Page path + query string and screen class,Views
/data-skills-v1/getting-to-know-the-data.html,921
/data-skills-v1/,754
/,428
/quant-fun-v2/programming-basics.html,365
/reprores-v2/,298
/data-skills-v1/programming-basics.html,270
/reprores-v2/intro.html,161
/stat-models-v1/,155
/msc-data-skills/ggplot.html,154
/quant-fun-v2/,126
/reprores-v2/plotstyle.html,124
/stat-models-v1/introduction.html,122
/analysis-v2/,107
/reprores-v2/installingr.html,101
/msc-data-skills/sim.html,90
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,82
/reprores-v2/repro.html,78
/reprores-v2/exercises.html,74
/reprores-v2/index.html,68
/ug2-practical/,66
/stat-models-v1/introducing-linear-mixed-effects-models.html,59
/analysis-v2/starting-with-r-markdown.html,57
/data-skills-v1/data-wrangling-1.html,56
/data-skills-v1/index.html,56
/quant-fun-v2/intro-to-r.html,55
/reprores-v2/data.html,45
/data-skills-v1/ref1.html,44
/msc-data-skills/glm.html,43
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,41
/books/,40
/data-skills-v1/loading-data.html,40
/reprores-v2/ggplot.html,40
/msc-conv/,37
/msc-data-skills/,36
/glossary/r,35
/quant-fun-v2/foreword.html,33
/analysis-v2/installing-r.html,32
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,31
/data-skills-v1/data-wrangling-2.html,28
/glossary/,28
/quant-fun-v2/starting-with-data.html,28
/introdataviz/,27
/shiny-tutorials/coding_club.html,27
/ug2-practical/correlations.html,27
/stat-models-v1/index.html,26
/ug2-practical/data-wrangling-a-key-skill.html,26
/data-skills-v1/intro-to-data-viz.html,25
/quant-fun-v2/index.html,25
/quant-fun-v2/data-wrangling-1.html,24
/reprores-v2/tidyr.html,23
/ug2-practical/starting-with-r-markdown.html,23
/stat-models-v1/interactions.html,21
/reprores-v2/func.html,20
/resources.html,20
/analysis-v2/index.html,19
/data-skills-v1/scatterplots.html,19
/ug2-practical/visualisation-through-ggplot2.html,19
/mms/,18
/reprores-v2/sim.html,18
/ug2-practical/within-subjects-t-test.html,18
/data-skills-v1/reshaping-data.html,17
/quant-fun-v2/installing-r.html,17
/reprores-v2/dplyr.html,17
/data-skills-v1/aq-data-and-recap.html,16
/quant-fun-v2/t-tests.html,16
/reprores-v2/reprores-v2.pdf,16
/stat-models-v1/generalized-linear-mixed-effects-models.html,16
/stat-models-v1/multiple-regression.html,16
/analysis-v2/data-wrangling-a-key-skill.html,15
/msc-data-skills/joins.html,15
/quant-fun-v2/probability.html,15
/reprores-v2/glm.html,14
/template/,14
/ug2-practical/regression.html,14
/msc-data-skills/func.html,13
/msc-data-skills/intro.html,13
/quant-fun-v2/power-and-error.html,13
/reprores-v2/exercise-answers.html,13
/reprores-v2/symbols.html,13
/book-template/setup.html,12
/msc-data-skills/data.html,12
/msc-data-skills/dplyr.html,12
/msc-data-skills/tidyr.html,12
/reprores-v2/joins.html,12
/glossary/c,11
/introdataviz/transforming-data.html,11
/quant-fun-v2/citing-r-rstudio.html,11
/analysis-v2/updating-r-rstudio-and-packages.html,10
/data-skills-v1/pipes.html,10
/glossary/p,10
/introdataviz/introduction.html,10
/quant-fun-v2/correlation.html,10
/shiny-tutorials/data-input.html,10
/stat-models-v1/modeling-ordinal-data.html,10
/trdair_workshop/,10
/ug2-practical/nhst-and-one-sample-t-tests.html,10
/data-skills-v1/installing-r.html,9
/data-skills-v1/intro-to-probability.html,9
/glossary/index.html,9
/glossary/m,9
/introdataviz/index.html,9
/quant-fun-v2/visualisation.html,9
/glossary/p.html,8
/index.html,8
/quant-fun-v2/one-way-anova.html,8
/shiny-tutorials/01-first-app.html,8
/ug2-practical/continuing-the-glm-two-factor-designs.html,8
/ug2-practical/introduction-to-glm-one-factor-anova.html,8
/analysis-v2/exporting-files-from-the-server.html,7
/data-skills-v1/project-analysis.html,7
/data-skills-v1/simulation.html,7
/glossary/a.html,7
/glossary/d,7
/glossary/d.html,7
/glossary/r.html,7
/glossary/s,7
/glossary/t.html,7
/introdataviz/multi-part-plots.html,7
/quant-fun-v2/data-wrangling-2.html,7
/quant-fun-v2/factorial-anova.html,7
/quant-fun-v2/multiple-regression.html,7
/quant-fun-v2/screening-data.html,7
/template/intro.html,7
/ug2-practical/continuing-the-glm-one-factor-anova.html,7
/book-template/,6
/data-skills-v1/mega-pipe.html,6
/glossary/t,6
/glossary/v.html,6
/introdataviz/getting-started.html,6
/msc-data-skills/repro.html,6
/reprores-v2/conventions.html,6
/template/installing-r.html,6
/ads-v1/plotstyle.html,5
/analysis-v2/symbols.html,5
/book-template/psyteachr-style-guide.html,5
/data-skills-v1/probability-continued.html,5
/glossary/symbols.html,5
/introdataviz/advanced-plots.html,5
/msc-conv/data-wrangling-1.html,5
/msc-conv/programming-basics.html,5
/quant-fun-v2/data-wrangling-3.html,5
/quant-fun-v2/intro-to-data-viz.html,5
/quant-fun-v2/updating-packages.html,5
/analysis-v2/acknowledgements.html,4
/data-skills-v1/updating-r-rstudio-and-packages.html,4
/glossary/a,4
/glossary/b,4
/glossary/b.html,4
/glossary/f,4
/glossary/m.html,4
/glossary/n,4
/glossary/o,4
/glossary/v,4
/glossary/y,4
/introdataviz/representing-summary-statistics.html,4
/msc-data-skills/installingr.html,4
/quant-fun-v2/regression.html,4
/reprores-v2/datasets.html,4
/rmd_output/1/index.html,4
/rmd_output/3/index.html,4
/ug2-practical/combining-anova-and-regression-e.g.-ancovas.html,4
/ug2-practical/permutation-tests---a-skill-set.html,4
/CEPI/,3
/ads-v1/viz.html,3
/analysis-v2/license.html,3
/analysis-v2/references.html,3
/glossary/c.html,3
/glossary/o.html,3
/glossary/u,3
/msc-conv/correlation.html,3
/msc-conv/multiple-regression.html,3
/msc-conv/one-way-anova.html,3
/msc-conv/t-tests.html,3
/msc-data-skills/index.html,3
"/quant-fun-v2/programming-basics.html?_x_tr_sl=auto&_x_tr_tl=zh-CN&_x_tr_hl=zh-CN&_x_tr_pto=nui,elem",3
/quant-fun-v2/references.html,3
/reprores-v2/bookrefs.html,3
/reprores-v2/reprores-v2.epub,3
/reprores-v2/slides/glm.html,3
/rmd_output/0/index.html,3
/rmd_output/4/index.html,3
/stat-models-v1/bibliography.html,3
/template/symbols.html,3
/ug2-practical/index.html,3
/ug2-practical/reflection---chpts-10-15.html,3
/ug2-practical/revisiting-probability-distributions.html,3
/ads-v1/,2
/ads-v1/intro.html,2
/ads-v1/reports.html,2
/book-template/index.html,2
/data-skills-v1/exporting-files-from-the-server.html,2
/glossary/f.html,2
/glossary/g,2
/glossary/q,2
/glossary/u.html,2
/glossary/w,2
/glossary/y.html,2
/msc-conv/index.html,2
/msc-conv/installing-r.html,2
/msc-conv/intro-to-r.html,2
/msc-data-skills/symbols.html,2
/quant-fun-v2/installing-r.html?q=download,2
/quant-fun-v2/visualisation.html?q=scatter,2
/reprores-v2/acknowledgements.html,2
/reprores-v2/dplyr.html?q=date,2
/reprores-v2/dplyr.html?q=group_by,2
/reprores-v2/dplyr.html?q=mutate,2
/reprores-v2/dplyr.html?q=rename,2
/reprores-v2/reprores-v2.mobi,2
/rmd_output/2/index.html,2
/shiny-tutorials/03-science-tools.html,2
/stat-models-v1/symbols.html,2
/template/index.html,2
/ug2-practical/apes---alpha-power-effect-sizes-sample-size.html,2
/ug2-practical/foreword.html,2
/ads-v1/custom.html,1
/ads-v1/data.html,1
/ads-v1/summary.html,1
/ads-v1/tidy.html,1
/ads-v1/wrangle.html,1
/analysis-v2/index.html?q=ANOVA,1
/book-template/inclusion.html,1
/book-template/style-demo.html,1
/book-template/symbols.html,1
/data-skills-v1/data-wrangling-1.html?q=new,1
/data-skills-v1/data-wrangling-2.html?q=group,1
/data-skills-v1/data-wrangling-2.html?q=selec,1
