# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20210822
# End date: 20210828

Page path + query string and screen class,Views
/,266
/reprores-v2/,266
/msc-data-skills/ggplot.html,82
/data-skills-v1/,79
/reprores-v2/intro.html,68
/reprores-v2/repro.html,53
/stat-models-v1/,53
/reprores-v2/sim.html,37
/msc-data-skills/,34
/reprores-v2/ggplot.html,33
/msc-data-skills/glm.html,31
/data-skills-v1/getting-to-know-the-data.html,30
/msc-data-skills/data.html,28
/msc-data-skills/sim.html,28
/reprores-v2/data.html,28
/reprores-v2/index.html,28
/ads-v1/,24
/reprores-v2/tidyr.html,24
/index.html,22
/reprores-v2/dplyr.html,22
/reprores-v2/joins.html,22
/reprores-v2/glm.html,21
/stat-models-v1/introducing-linear-mixed-effects-models.html,21
/data-skills-v1/programming-basics.html,19
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,18
/ads-v1/index.html,16
/data-skills-v1/index.html,16
/msc-data-skills/dplyr.html,15
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,15
/?viewer_pane=1&capabilities=1&host=http%3A%2F%2F127.0.0.1%3A44285,14
/stat-models-v1/multiple-regression.html,13
/template/,13
/ads-v1/intro.html,12
/data-skills-v1/data-wrangling-1.html,12
/data-skills-v1/ref1.html,12
/data-skills-v1/scatterplots.html,12
/msc-data-skills/func.html,12
/msc-data-skills/joins.html,12
/msc-data-skills/tidyr.html,12
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,12
/ads-v1/reports.html,11
/book-template/setup.html,11
/msc-data-skills/intro.html,11
/book-template/,10
/ads-v1/data.html,9
/ads-v1/installing-r.html,9
/ads-v1/viz.html,9
/data-skills-v1/loading-data.html,9
/resources.html,9
/stat-models-v1/index.html,9
/stat-models-v1/introduction.html,9
/ads-v1/tidy.html,8
/data-skills-v1/intro-to-data-viz.html,8
/msc-data-skills/repro.html,8
/books/,7
/data-skills-v1/data-wrangling-2.html,7
/reprores-v2/func.html,7
/stat-models-v1/generalized-linear-mixed-effects-models.html,7
/book-template/psyteachr-style-guide.html,6
/ads-v1/custom.html,5
/ads-v1/present.html,5
/ads-v1/symbols.html,5
/ads-v1/wrangle.html,5
/msc-data-skills/index.html,5
/rmd_output/1/,5
/stat-models-v1/interactions.html,5
/stat-models-v1/modeling-ordinal-data.html,5
/template/conventions.html,5
/template/intro.html,5
/ads-v1/next.html,4
/ads-v1/summary.html,4
/reprores-v2/symbols.html,4
/template/installing-r.html,4
/template/symbols.html,4
/?fbclid=IwAR1ISNPnGKvwZGWlCeR4u_Bwbsm9PIpyzCJbQxzmhPhSJkEPMopoe1H5cLg,3
/ads-v1/conventions.html,3
/book-template/webex.html,3
/data-skills-v1/installing-r.html,3
/data-skills-v1/pipes.html,3
/data-skills-v1/project-analysis.html,3
/data-skills-v1/symbols.html,3
/data-skills-v1/updating-r-rstudio-and-packages.html,3
/reprores-v2/datasets.html,3
/reprores-v2/exercises/exercise-answers.html,3
/reprores-v2/installingr.html,3
/rmd_output/2/,3
/stat-models-v1/bibliography.html,3
/template/index.html,3
/template/license.html,3
/ads-v1/glossary.html,2
/book-template/style-demo.html,2
/data-skills-v1/reshaping-data.html,2
/data-skills-v1/simulation.html,2
/msc-data-skills/installingr.html,2
/reprores-v2/?s=03,2
/reprores-v2/acknowledgements.html,2
/reprores-v2/bookrefs.html,2
/reprores-v2/data.html?q=impo,2
/reprores-v2/exercises/02_ggplot_answers.html,2
/rmd_output/3/,2
/stat-models-v1/symbols.html,2
/statswithr/,2
/template/references.html,2
/ads-v1/license.html,1
/ads-v1/references.html,1
/ads-v1/reports.html?q=markdown,1
/book-template/inclusion.html,1
/book-template/index.html,1
/data-skills-v1/aq-data-and-recap.html,1
/data-skills-v1/exporting-files-from-the-server.html,1
/data-skills-v1/intro-to-probability.html,1
/data-skills-v1/license.html,1
/data-skills-v1/mega-pipe.html,1
/data-skills-v1/probability-continued.html,1
/data-skills-v1/references.html,1
/msc-data-skills/acknowledgements.html,1
/msc-data-skills/bookrefs.html,1
/msc-data-skills/datasets.html,1
/msc-data-skills/exercise-answers.html,1
/msc-data-skills/symbols.html,1
/reprores-v2/?fbclid=IwAR0EyCMoLDr9YyNBA3y_Nz_UddFTZ5RLLqpJqV3Ff9lBXg-wMpcHhzOUf4I,1
/reprores-v2/?fbclid=IwAR0yylKzxHaccATh_kNApqC-Z4SHIXTxLTVm9aZbX-G0LuRbAUqNdmAU0gg,1
/reprores-v2/?fbclid=IwAR2CUi6cX33d56Nhv2TvoyfaR6ejT_XS-nWGAKmLQlMbFrhkJsexxkqEXc4,1
/reprores-v2/data.html?q=importi,1
/reprores-v2/data.html?q=vector,1
/reprores-v2/dplyr.html?q=mutate,1
/reprores-v2/exercise-answers.html,1
/reprores-v2/exercises/03_data_answers.html,1
/reprores-v2/exercises/04_tidyr_answers.html,1
/reprores-v2/exercises/09_sim_answers.html,1
/reprores-v2/ggplot.html?q=ordinal,1
/reprores-v2/joins.html?q=if,1
/reprores-v2/reprores-v2.epub,1
/reprores-v2/reprores-v2.mobi,1
/reprores-v2/tidyr.html?q=pip,1
/reprores-v2/tidyr.html?q=pipe,1
/rmd_output/3/a-caucus-race-and-a-long-tale.html,1
/rmd_output/3/index.html,1
/rmd_output/3/introduction.html,1
/rmd_output/4/,1
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html?q=crossed%20,1
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html?q=mvrnorm,1
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html?q=pseudo,1
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html?q=mvrnorm,1

# Start date: 20210822
# End date: 20210828
Page path + query string and screen class,Views,Users
/,266,124
/reprores-v2/,266,200
/msc-data-skills/ggplot.html,82,62
/data-skills-v1/,79,62
/reprores-v2/intro.html,68,47
/reprores-v2/repro.html,53,40
/stat-models-v1/,53,35
/reprores-v2/sim.html,37,16
/msc-data-skills/,34,24
/reprores-v2/ggplot.html,33,21
/msc-data-skills/glm.html,31,21
/data-skills-v1/getting-to-know-the-data.html,30,21
/msc-data-skills/data.html,28,11
/msc-data-skills/sim.html,28,18
/reprores-v2/data.html,28,22
/reprores-v2/index.html,28,19
/ads-v1/,24,9
/reprores-v2/tidyr.html,24,15
/index.html,22,10
/reprores-v2/dplyr.html,22,15
/reprores-v2/joins.html,22,15
/reprores-v2/glm.html,21,18
/stat-models-v1/introducing-linear-mixed-effects-models.html,21,16
/data-skills-v1/programming-basics.html,19,17
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,18,9
/ads-v1/index.html,16,4
/data-skills-v1/index.html,16,9
/msc-data-skills/dplyr.html,15,7
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,15,9
/?viewer_pane=1&capabilities=1&host=http%3A%2F%2F127.0.0.1%3A44285,14,1
/stat-models-v1/multiple-regression.html,13,8
/template/,13,13
/ads-v1/intro.html,12,5
/data-skills-v1/data-wrangling-1.html,12,10
/data-skills-v1/ref1.html,12,12
/data-skills-v1/scatterplots.html,12,5
/msc-data-skills/func.html,12,9
/msc-data-skills/joins.html,12,12
/msc-data-skills/tidyr.html,12,8
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,12,7
/ads-v1/reports.html,11,6
/book-template/setup.html,11,7
/msc-data-skills/intro.html,11,10
/book-template/,10,9
/ads-v1/data.html,9,6
/ads-v1/installing-r.html,9,5
/ads-v1/viz.html,9,6
/data-skills-v1/loading-data.html,9,7
/resources.html,9,7
/stat-models-v1/index.html,9,8
/stat-models-v1/introduction.html,9,5
/ads-v1/tidy.html,8,4
/data-skills-v1/intro-to-data-viz.html,8,5
/msc-data-skills/repro.html,8,6
/books/,7,7
/data-skills-v1/data-wrangling-2.html,7,7
/reprores-v2/func.html,7,7
/stat-models-v1/generalized-linear-mixed-effects-models.html,7,6
/book-template/psyteachr-style-guide.html,6,4
/ads-v1/custom.html,5,4
/ads-v1/present.html,5,4
/ads-v1/symbols.html,5,4
