# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20210926
# End date: 20211002

Page path + query string and screen class,Views
/data-skills-v1/programming-basics.html,1343
/data-skills-v1/getting-to-know-the-data.html,869
/analysis-v2/starting-with-r-markdown.html,701
/data-skills-v1/,577
/,525
/quant-fun-v2/programming-basics.html,313
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,304
/quant-fun-v2/intro-to-r.html,236
/stat-models-v1/,233
/stat-models-v1/introduction.html,223
/reprores-v2/,208
/reprores-v2/exercises.html,198
/reprores-v2/repro.html,183
/analysis-v2/,174
/data-skills-v1/ref1.html,174
/reprores-v2/intro.html,166
/analysis-v2/installing-r.html,161
/msc-data-skills/ggplot.html,145
/quant-fun-v2/starting-with-data.html,143
/quant-fun-v2/,131
/ug2-practical/,131
/reprores-v2/ggplot.html,94
/quant-fun-v2/visualisation.html,90
/data-skills-v1/installing-r.html,88
/analysis-v2/data-wrangling-a-key-skill.html,75
/quant-fun-v2/data-wrangling-1.html,73
/msc-data-skills/sim.html,69
/ug2-practical/data-wrangling-a-key-skill.html,67
/data-skills-v1/index.html,65
/stat-models-v1/introducing-linear-mixed-effects-models.html,61
/stat-models-v1/multiple-regression.html,61
/ug2-practical/starting-with-r-markdown.html,59
/stat-models-v1/index.html,58
/reprores-v2/exercise-answers.html,54
/books/,53
/shiny-tutorials/01-first-app.html,53
/msc-data-skills/glm.html,51
/reprores-v2/index.html,50
/glossary/,45
/msc-data-skills/,45
/glossary/r,43
/quant-fun-v2/index.html,40
/reprores-v2/tidyr.html,39
/handyworkbook/descriptives.html,38
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,38
/ug2-practical/visualisation-through-ggplot2.html,38
/data-skills-v1/loading-data.html,37
/shiny-tutorials/coding_club.html,35
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,35
/reprores-v2/data.html,34
/mms/,33
/ug2-practical/nhst-and-one-sample-t-tests.html,33
/quant-fun-v2/foreword.html,31
/ug2-practical/within-subjects-t-test.html,31
/data-skills-v1/data-wrangling-1.html,29
/reprores-v2/installingr.html,28
/data-skills-v1/intro-to-data-viz.html,26
/msc-data-skills/tidyr.html,25
/quant-fun-v2/one-way-anova.html,25
/analysis-v2/index.html,24
/msc-conv/,24
/ug2-practical/correlations.html,24
/analysis-v2/updating-r-rstudio-and-packages.html,23
/introdataviz/,23
/glossary/c,22
/quant-fun-v2/data-wrangling-2.html,22
/reprores-v2/dplyr.html,21
/resources.html,21
/stat-models-v1/interactions.html,21
/handyworkbook/,20
/data-skills-v1/data-wrangling-2.html,19
/data-skills-v1/scatterplots.html,18
/msc-data-skills/dplyr.html,18
/quant-fun-v2/installing-r.html,18
/ug2-practical/regression.html,18
/msc-data-skills/intro.html,17
/stat-models-v1/generalized-linear-mixed-effects-models.html,17
/glossary/m,16
/msc-data-skills/index.html,16
/quant-fun-v2/citing-r-rstudio.html,16
/data-skills-v1/aq-data-and-recap.html,15
/reprores-v2/sim.html,15
/quant-fun-v2/data-wrangling-3.html,14
/reprores-v2/datasets.html,14
/template/,14
/glossary/c.html,13
/glossary/t,13
/msc-data-skills/data.html,13
/reprores-v2/plotstyle.html,13
/data-skills-v1/intro-to-probability.html,12
/glossary/a,12
/glossary/d.html,12
/msc-data-skills/repro.html,12
/reprores-v2/joins.html,12
/ug2-practical/permutation-tests---a-skill-set.html,12
/ug2-practical/revisiting-probability-distributions.html,12
/data-skills-v1/reshaping-data.html,11
/glossary/a.html,11
/glossary/r.html,11
/glossary/s,11
/glossary/symbols.html,11
/msc-data-skills/joins.html,11
/stat-models-v1/modeling-ordinal-data.html,11
/ug2-practical/foreword.html,11
/data-skills-v1/mega-pipe.html,10
/glossary/d,10
/glossary/y,10
/introdataviz/introduction.html,10
/introdataviz/representing-summary-statistics.html,10
/msc-data-skills/func.html,10
/quant-fun-v2/power-and-error.html,10
/reprores-v2/func.html,10
/reprores-v2/glm.html,10
