# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20211003
# End date: 20211009

Page path + query string and screen class,Views
/data-skills-v1/programming-basics.html,1370
/data-skills-v1/ref1.html,1176
/,990
/data-skills-v1/getting-to-know-the-data.html,695
/analysis-v2/data-wrangling-a-key-skill.html,505
/data-skills-v1/,495
/analysis-v2/starting-with-r-markdown.html,425
/stat-models-v1/multiple-regression.html,290
/stat-models-v1/,264
/shiny-tutorials/coding_club.html,255
/analysis-v2/,233
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,226
/quant-fun-v2/data-wrangling-1.html,215
/quant-fun-v2/programming-basics.html,213
/reprores-v2/,189
/data-skills-v1/loading-data.html,171
/quant-fun-v2/starting-with-data.html,159
/ug2-practical/,150
/quant-fun-v2/intro-to-r.html,149
/reprores-v2/ggplot.html,148
/msc-data-skills/ggplot.html,123
/quant-fun-v2/,120
/reprores-v2/exercises.html,112
/ug2-practical/data-wrangling-a-key-skill.html,107
/stat-models-v1/interactions.html,99
/stat-models-v1/introduction.html,97
/shiny-tutorials/01-first-app.html,93
/quant-fun-v2/one-way-anova.html,88
/quant-fun-v2/visualisation.html,86
/quant-fun-v2/data-wrangling-2.html,79
/reprores-v2/repro.html,79
/data-skills-v1/index.html,77
/msc-data-skills/sim.html,77
/data-skills-v1/data-wrangling-1.html,74
/reprores-v2/intro.html,72
/reprores-v2/installingr.html,70
/stat-models-v1/index.html,66
/ug2-practical/visualisation-through-ggplot2.html,59
/ug2-practical/within-subjects-t-test.html,58
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,53
/ug2-practical/starting-with-r-markdown.html,53
/data-skills-v1/installing-r.html,52
/stat-models-v1/introducing-linear-mixed-effects-models.html,52
/ug2-practical/nhst-and-one-sample-t-tests.html,52
/analysis-v2/installing-r.html,48
/reprores-v2/data.html,47
/quant-fun-v2/index.html,45
/msc-data-skills/,44
/analysis-v2/index.html,42
/reprores-v2/index.html,42
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,42
/ug2-practical/correlations.html,42
/books/,41
/analysis-v2/data-visualisation-through-ggplot2.html,40
/ug2-practical/permutation-tests---a-skill-set.html,40
/mms/,39
/introdataviz/,38
/ug2-practical/introduction-to-glm-one-factor-anova.html,38
/handyworkbook/descriptives.html,34
/msc-conv/,31
/resources.html,31
/data-skills-v1/intro-to-data-viz.html,29
/msc-data-skills/glm.html,29
/quant-fun-v2/data-wrangling-3.html,29
/glossary/,28
/quant-fun-v2/foreword.html,28
/data-skills-v1/data-wrangling-2.html,27
/ug2-practical/revisiting-probability-distributions.html,27
/reprores-v2/tidyr.html,26
/ug2-practical/regression.html,26
/glossary/r,25
/ug2-practical/continuing-the-glm-two-factor-designs.html,25
/glossary/c,24
/reprores-v2/exercise-answers.html,24
/introdataviz/transforming-data.html,23
/quant-fun-v2/probability.html,23
/handyworkbook/,22
/introdataviz/getting-started.html,22
/introdataviz/representing-summary-statistics.html,22
/stat-models-v1/generalized-linear-mixed-effects-models.html,22
/msc-data-skills/func.html,20
/ug2-practical/continuing-the-glm-one-factor-anova.html,20
/quant-fun-v2/intro-to-data-viz.html,19
