# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20210912
# End date: 20210918

Page path + query string and screen class,Views
/,351
/msc-data-skills/ggplot.html,155
/data-skills-v1/,128
/msc-data-skills/sim.html,100
/quant-fun-v2/programming-basics.html,100
/quant-fun-v2/,91
/stat-models-v1/,76
/reprores-v2/,71
/msc-data-skills/,65
/analysis-v2/,59
/data-skills-v1/getting-to-know-the-data.html,51
/stat-models-v1/introducing-linear-mixed-effects-models.html,48
/msc-data-skills/glm.html,40
/quant-fun-v2/intro-to-r.html,36
/analysis-v2/starting-with-r-markdown.html,30
/glossary/,30
/quant-fun-v2/foreword.html,30
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,29
/data-skills-v1/data-wrangling-1.html,26
/data-skills-v1/programming-basics.html,25
/reprores-v2/sim.html,25
/resources.html,24
/quant-fun-v2/index.html,23
/analysis-v2/installing-r.html,22
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,22
/msc-data-skills/dplyr.html,21
/msc-data-skills/intro.html,20
/stat-models-v1/generalized-linear-mixed-effects-models.html,17
/data-skills-v1/ref1.html,16
/reprores-v2/intro.html,16
/stat-models-v1/index.html,16
/stat-models-v1/introduction.html,16
/quant-fun-v2/data-wrangling-1.html,14
/msc-data-skills/data.html,13
/quant-fun-v2/starting-with-data.html,13
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,13
/analysis-v2/index.html,12
/data-skills-v1/loading-data.html,12
/reprores-v2/data.html,12
/stat-models-v1/modeling-ordinal-data.html,12
/stat-models-v1/multiple-regression.html,12
/book-template/,11
/data-skills-v1/data-wrangling-2.html,11
/book-template/psyteachr-style-guide.html,10
/data-skills-v1/index.html,10
/glossary/a.html,10
/msc-data-skills/func.html,10
/quant-fun-v2/power-and-error.html,10
/analysis-v2/foreword.html,9
/book-template/inclusion.html,9
/data-skills-v1/intro-to-data-viz.html,9
/msc-data-skills/joins.html,9
/reprores-v2/repro.html,9
/stat-models-v1/interactions.html,9
/template/,9
/books/,8
/msc-data-skills/tidyr.html,8
/quant-fun-v2/intro-to-data-viz.html,8
/glossary/symbols.html,7
/msc-data-skills/repro.html,7
/quant-fun-v2/factorial-anova.html,7
/quant-fun-v2/multiple-regression.html,7
/quant-fun-v2/visualisation.html,7
/reprores-v2/func.html,7
/reprores-v2/glm.html,7
/reprores-v2/index.html,7
/reprores-v2/installingr.html,7
/analysis-v2/updating-r-rstudio-and-packages.html,6
/book-template/setup.html,6
/msc-conv/programming-basics.html,6
/quant-fun-v2/loading-data.html,6
/analysis-v2/acknowledgements.html,5
/analysis-v2/exporting-files-from-the-server.html,5
/data-skills-v1/mega-pipe.html,5
/msc-data-skills/index.html,5
/quant-fun-v2/one-way-anova.html,5
/quant-fun-v2/regression.html,5
/reprores-v2/ggplot.html,5
/reprores-v2/tidyr.html,5
/template/intro.html,5
/analysis-v2/license.html,4
/analysis-v2/symbols.html,4
/book-template/webex.html,4
/data-skills-v1/aq-data-and-recap.html,4
/data-skills-v1/intro-to-probability.html,4
/index.html,4
/reprores-v2/exercises.html,4
/stat-models-v1/bibliography.html,4
/ads-v1/intro.html,3
/ads-v1/reports.html,3
/ads-v1/viz.html,3
/ads-v1/wrangle.html,3
/data-skills-v1/project-analysis.html,3
/data-skills-v1/reshaping-data.html,3
/data-skills-v1/simulation.html,3
/glossary/index.html,3
/msc-conv/,3
/msc-data-skills/installingr.html,3
/quant-fun-v2/additional-resources.html,3
/quant-fun-v2/citing-r-rstudio.html,3
/quant-fun-v2/data-wrangling-2.html,3
/quant-fun-v2/installing-r.html,3
/quant-fun-v2/probability.html,3
/reprores-v2/dplyr.html,3
/reprores-v2/glm.html?q=ano,3
/reprores-v2/joins.html,3
/statswithr/,3
/template/installing-r.html,3
/trdair_workshop/,3
/ads-v1/custom.html,2
/ads-v1/data-types.html,2
/ads-v1/data.html,2
/ads-v1/present.html,2
/ads-v1/summary.html,2
/ads-v1/tidy.html,2
/analysis-v2/references.html,2
/data-skills-v1/installing-r.html,2
/data-skills-v1/pipes.html,2
/data-skills-v1/probability-continued.html,2
/glossary/c.html,2
/glossary/k.html?q=knit,2
/glossary/r,2
/glossary/t.html,2
/msc-data-skills/symbols.html,2
/quant-fun-v2/correlation.html,2
/quant-fun-v2/data-wrangling-3.html,2
/quant-fun-v2/t-tests.html,2
/reprores-v2/datasets.html,2
/stat-models-v1/multiple-regression.html?q=center,2
/stat-models-v1/symbols.html,2
/template/_main.pdf,2
/trdair_workshop/GTA.html,2
/ads-v1/index.html,1
/ads-v1/next.html,1
/book-template/index.html,1
/book-template/symbols.html,1
/data-skills-v1/project-analysis.html?q=descriptive,1
/data-skills-v1/scatterplots.html,1
/data-skills-v1/updating-r-rstudio-and-packages.html,1
/glossary/b.html,1
/glossary/d.html,1
/glossary/j.html,1
/glossary/l.html,1
/glossary/m.html,1
/glossary/n,1
/glossary/w,1
/glossary/w.html,1
/glossary/y.html,1
/glossary/z.html,1
/msc-conv/index.html,1
/msc-conv/intro-to-r.html,1
/msc-conv/power-and-error.html,1
/msc-data-skills/acknowledgements.html,1
/msc-data-skills/exercise-answers.html,1
/quant-fun-v2/data-wrangling-1.html?q=babynames,1
/quant-fun-v2/programming-basics.html?q=R%20server,1
/quant-fun-v2/programming-basics.html?q=install.packages,1
/quant-fun-v2/references.html,1
/quant-fun-v2/screening-data.html,1
/quant-fun-v2/starting-with-data.html?q=knit,1
/quant-fun-v2/updating-packages.html,1
/reprores-v2/func.html?q=rep(,1
/reprores-v2/sim.html?q=mixed%20effect,1
/stat-models-v1/interactions.html?q=center,1
/stat-models-v1/introducing-linear-mixed-effects-models.html?s=09,1
/template/conventions.html,1
/template/license.html,1
/template/references.html,1
/template/symbols.html,1

# Start date: 20210912
# End date: 20210918
Page path + query string and screen class,Views,Users
/,351,197
/msc-data-skills/ggplot.html,155,110
/data-skills-v1/,128,100
/msc-data-skills/sim.html,100,64
/quant-fun-v2/programming-basics.html,100,37
/quant-fun-v2/,91,55
/stat-models-v1/,76,51
/reprores-v2/,71,46
/msc-data-skills/,65,43
/analysis-v2/,59,35
/data-skills-v1/getting-to-know-the-data.html,51,30
/stat-models-v1/introducing-linear-mixed-effects-models.html,48,30
/msc-data-skills/glm.html,40,33
/quant-fun-v2/intro-to-r.html,36,14
/analysis-v2/starting-with-r-markdown.html,30,17
/glossary/,30,26
/quant-fun-v2/foreword.html,30,20
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,29,20
/data-skills-v1/data-wrangling-1.html,26,16
/data-skills-v1/programming-basics.html,25,16
/reprores-v2/sim.html,25,4
/resources.html,24,9
/quant-fun-v2/index.html,23,13
/analysis-v2/installing-r.html,22,12
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,22,16
/msc-data-skills/dplyr.html,21,9
/msc-data-skills/intro.html,20,17
/stat-models-v1/generalized-linear-mixed-effects-models.html,17,15
/data-skills-v1/ref1.html,16,14
/reprores-v2/intro.html,16,9
/stat-models-v1/index.html,16,8
/stat-models-v1/introduction.html,16,10
/quant-fun-v2/data-wrangling-1.html,14,9
/msc-data-skills/data.html,13,12
/quant-fun-v2/starting-with-data.html,13,7
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,13,11
/analysis-v2/index.html,12,6
/data-skills-v1/loading-data.html,12,7
/reprores-v2/data.html,12,6
/stat-models-v1/modeling-ordinal-data.html,12,11
/stat-models-v1/multiple-regression.html,12,10
/book-template/,11,6
/data-skills-v1/data-wrangling-2.html,11,7
/book-template/psyteachr-style-guide.html,10,6
/data-skills-v1/index.html,10,10
/glossary/a.html,10,7
/msc-data-skills/func.html,10,9
/quant-fun-v2/power-and-error.html,10,8
/analysis-v2/foreword.html,9,3
/book-template/inclusion.html,9,4
/data-skills-v1/intro-to-data-viz.html,9,6
/msc-data-skills/joins.html,9,7
/reprores-v2/repro.html,9,4
/stat-models-v1/interactions.html,9,9
/template/,9,6
/books/,8,6
/msc-data-skills/tidyr.html,8,7
/quant-fun-v2/intro-to-data-viz.html,8,3
/glossary/symbols.html,7,5
/msc-data-skills/repro.html,7,3
/quant-fun-v2/factorial-anova.html,7,6
/quant-fun-v2/multiple-regression.html,7,6
/quant-fun-v2/visualisation.html,7,2
/reprores-v2/func.html,7,2
/reprores-v2/glm.html,7,7
/reprores-v2/index.html,7,4
/reprores-v2/installingr.html,7,5
/analysis-v2/updating-r-rstudio-and-packages.html,6,4
/book-template/setup.html,6,5
/msc-conv/programming-basics.html,6,1
/quant-fun-v2/loading-data.html,6,3
/analysis-v2/acknowledgements.html,5,3
/analysis-v2/exporting-files-from-the-server.html,5,4
/data-skills-v1/mega-pipe.html,5,5
/msc-data-skills/index.html,5,3
/quant-fun-v2/one-way-anova.html,5,2
/quant-fun-v2/regression.html,5,4
/reprores-v2/ggplot.html,5,3
/reprores-v2/tidyr.html,5,3
/template/intro.html,5,4
/analysis-v2/license.html,4,4
/analysis-v2/symbols.html,4,4
/book-template/webex.html,4,2
/data-skills-v1/aq-data-and-recap.html,4,2
/data-skills-v1/intro-to-probability.html,4,3
/index.html,4,4
/reprores-v2/exercises.html,4,2
/stat-models-v1/bibliography.html,4,3
/ads-v1/intro.html,3,1
/ads-v1/reports.html,3,1
/ads-v1/viz.html,3,1
/ads-v1/wrangle.html,3,2
/data-skills-v1/project-analysis.html,3,2
/data-skills-v1/reshaping-data.html,3,3
/data-skills-v1/simulation.html,3,2
/glossary/index.html,3,2
/msc-conv/,3,3
/msc-data-skills/installingr.html,3,3
/quant-fun-v2/additional-resources.html,3,3
/quant-fun-v2/citing-r-rstudio.html,3,3
/quant-fun-v2/data-wrangling-2.html,3,2
/quant-fun-v2/installing-r.html,3,2
/quant-fun-v2/probability.html,3,2
/reprores-v2/dplyr.html,3,2
/reprores-v2/glm.html?q=ano,3,1
/reprores-v2/joins.html,3,3
/statswithr/,3,2
/template/installing-r.html,3,3
/trdair_workshop/,3,3
/ads-v1/custom.html,2,1
/ads-v1/data-types.html,2,1
/ads-v1/data.html,2,1
/ads-v1/present.html,2,1
/ads-v1/summary.html,2,1
/ads-v1/tidy.html,2,1
/analysis-v2/references.html,2,2
/data-skills-v1/installing-r.html,2,2
/data-skills-v1/pipes.html,2,2
/data-skills-v1/probability-continued.html,2,2
/glossary/c.html,2,2
/glossary/k.html?q=knit,2,1
/glossary/r,2,1
/glossary/t.html,2,2
/msc-data-skills/symbols.html,2,2
/quant-fun-v2/correlation.html,2,1
/quant-fun-v2/data-wrangling-3.html,2,2
/quant-fun-v2/t-tests.html,2,2
/reprores-v2/datasets.html,2,1
/stat-models-v1/multiple-regression.html?q=center,2,2
/stat-models-v1/symbols.html,2,2
/template/_main.pdf,2,2
/trdair_workshop/GTA.html,2,1
/ads-v1/index.html,1,1
/ads-v1/next.html,1,1
/book-template/index.html,1,1
/book-template/symbols.html,1,1
/data-skills-v1/project-analysis.html?q=descriptive,1,1
/data-skills-v1/scatterplots.html,1,1
/data-skills-v1/updating-r-rstudio-and-packages.html,1,1
/glossary/b.html,1,1
/glossary/d.html,1,1
/glossary/j.html,1,1
/glossary/l.html,1,1
/glossary/m.html,1,1
/glossary/n,1,1
/glossary/w,1,1
/glossary/w.html,1,1
/glossary/y.html,1,1
/glossary/z.html,1,1
/msc-conv/index.html,1,1
/msc-conv/intro-to-r.html,1,1
/msc-conv/power-and-error.html,1,1
/msc-data-skills/acknowledgements.html,1,1
/msc-data-skills/exercise-answers.html,1,1
/quant-fun-v2/data-wrangling-1.html?q=babynames,1,1
/quant-fun-v2/programming-basics.html?q=R%20server,1,1
/quant-fun-v2/programming-basics.html?q=install.packages,1,1
/quant-fun-v2/references.html,1,1
/quant-fun-v2/screening-data.html,1,1
/quant-fun-v2/starting-with-data.html?q=knit,1,1
/quant-fun-v2/updating-packages.html,1,1
/reprores-v2/func.html?q=rep(,1,1
/reprores-v2/sim.html?q=mixed%20effect,1,1
/stat-models-v1/interactions.html?q=center,1,1
/stat-models-v1/introducing-linear-mixed-effects-models.html?s=09,1,1
/template/conventions.html,1,1
/template/license.html,1,1
/template/references.html,1,1
/template/symbols.html,1,1
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html?q=crossed%20,0,1

# All Users
# Start date: 20210912
# End date: 20210918

Page path + query string and screen class,Hostname,Views,Users,New users,Views per user,Average engagement time,Unique user scrolls,Event count,Conversions,Total revenue
/,psyteachr.github.io,351,197,143,1.781725888324873,15.081218274111675,0,976,0,0
/msc-data-skills/ggplot.html,psyteachr.github.io,155,110,95,1.4090909090909092,30.918181818181818,0,522,0,0
/data-skills-v1/,psyteachr.github.io,128,100,45,1.28,19.04,0,349,0,0
/msc-data-skills/sim.html,psyteachr.github.io,100,64,57,1.5625,34.125,0,306,0,0
/quant-fun-v2/programming-basics.html,psyteachr.github.io,100,37,16,2.7027027027027026,411.35135135135135,0,258,0,0
/quant-fun-v2/,psyteachr.github.io,91,55,28,1.6545454545454545,28.381818181818183,0,240,0,0
/stat-models-v1/,psyteachr.github.io,76,51,25,1.4901960784313726,18.647058823529413,0,207,0,0
/reprores-v2/,psyteachr.github.io,71,46,14,1.5434782608695652,22.043478260869566,0,178,0,0
/msc-data-skills/,psyteachr.github.io,65,43,25,1.5116279069767442,17.069767441860463,0,189,0,0
/analysis-v2/,psyteachr.github.io,59,35,15,1.6857142857142857,21.285714285714285,0,150,0,0
/data-skills-v1/getting-to-know-the-data.html,psyteachr.github.io,51,30,0,1.7,60.166666666666664,0,98,0,0
/stat-models-v1/introducing-linear-mixed-effects-models.html,psyteachr.github.io,48,30,4,1.6,256.7,0,121,0,0
/msc-data-skills/glm.html,psyteachr.github.io,40,33,27,1.2121212121212122,52.666666666666664,0,130,0,0
/quant-fun-v2/intro-to-r.html,psyteachr.github.io,36,14,0,2.5714285714285716,71.21428571428571,0,75,0,0
/analysis-v2/starting-with-r-markdown.html,psyteachr.github.io,30,17,0,1.7647058823529411,112.41176470588235,0,60,0,0
/glossary/,psyteachr.github.io,30,26,21,1.1538461538461537,9.807692307692308,0,95,0,0
/quant-fun-v2/foreword.html,psyteachr.github.io,30,20,0,1.5,34.2,0,65,0,0
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,psyteachr.github.io,29,20,2,1.45,64.4,0,67,0,0
/data-skills-v1/data-wrangling-1.html,psyteachr.github.io,26,16,0,1.625,45.75,0,58,0,0
/data-skills-v1/programming-basics.html,psyteachr.github.io,25,16,0,1.5625,68.6875,0,54,0,0
/reprores-v2/sim.html,psyteachr.github.io,25,4,0,6.25,15,0,41,0,0
/resources.html,psyteachr.github.io,24,9,0,2.6666666666666665,46.44444444444444,0,48,0,0
/quant-fun-v2/index.html,psyteachr.github.io,23,13,2,1.7692307692307692,31.076923076923077,0,57,0,0
/analysis-v2/installing-r.html,psyteachr.github.io,22,12,6,1.8333333333333333,70.16666666666667,0,51,0,0
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,psyteachr.github.io,22,16,1,1.375,74.375,0,49,0,0
/msc-data-skills/dplyr.html,psyteachr.github.io,21,9,3,2.3333333333333335,82.11111111111111,0,55,0,0
/msc-data-skills/intro.html,psyteachr.github.io,20,17,5,1.1764705882352942,14.352941176470589,0,51,0,0
/stat-models-v1/generalized-linear-mixed-effects-models.html,psyteachr.github.io,17,15,2,1.1333333333333333,33.53333333333333,0,39,0,0
/data-skills-v1/ref1.html,psyteachr.github.io,16,14,0,1.1428571428571428,45.92857142857143,0,30,0,0
/reprores-v2/intro.html,psyteachr.github.io,16,9,1,1.7777777777777777,39.888888888888886,0,42,0,0
/stat-models-v1/index.html,psyteachr.github.io,16,8,2,2,20.375,0,39,0,0
/stat-models-v1/introduction.html,psyteachr.github.io,16,10,0,1.6,85,0,34,0,0
/quant-fun-v2/data-wrangling-1.html,psyteachr.github.io,14,9,1,1.5555555555555556,28.11111111111111,0,33,0,0
/msc-data-skills/data.html,psyteachr.github.io,13,12,5,1.0833333333333333,39.75,0,39,0,0
/quant-fun-v2/starting-with-data.html,psyteachr.github.io,13,7,1,1.8571428571428572,41.57142857142857,0,23,0,0
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,psyteachr.github.io,13,11,5,1.1818181818181819,17.90909090909091,0,30,0,0
/analysis-v2/index.html,psyteachr.github.io,12,6,0,2,35,0,23,0,0
/data-skills-v1/loading-data.html,psyteachr.github.io,12,7,0,1.7142857142857142,155.14285714285714,0,28,0,0
/reprores-v2/data.html,psyteachr.github.io,12,6,2,2,199.16666666666666,0,31,0,0
/stat-models-v1/modeling-ordinal-data.html,psyteachr.github.io,12,11,0,1.0909090909090908,4.2727272727272725,0,23,0,0
/stat-models-v1/multiple-regression.html,psyteachr.github.io,12,10,0,1.2,19.4,0,27,0,0
/book-template/,psyteachr.github.io,11,6,1,1.8333333333333333,11.166666666666666,0,24,0,0
/data-skills-v1/data-wrangling-2.html,psyteachr.github.io,11,7,0,1.5714285714285714,122.14285714285714,0,25,0,0
/book-template/psyteachr-style-guide.html,psyteachr.github.io,10,6,2,1.6666666666666667,73.33333333333333,0,25,0,0
/data-skills-v1/index.html,psyteachr.github.io,10,10,0,1,8.6,0,24,0,0
/glossary/a.html,psyteachr.github.io,10,7,0,1.4285714285714286,7.571428571428571,0,16,0,0
/msc-data-skills/func.html,psyteachr.github.io,10,9,6,1.1111111111111112,130.88888888888889,0,33,0,0
/quant-fun-v2/power-and-error.html,psyteachr.github.io,10,8,3,1.25,25.75,0,25,0,0
/analysis-v2/foreword.html,psyteachr.github.io,9,3,0,3,52.666666666666664,0,16,0,0
/book-template/inclusion.html,psyteachr.github.io,9,4,1,2.25,92.25,0,19,0,0
/data-skills-v1/intro-to-data-viz.html,psyteachr.github.io,9,6,0,1.5,137,0,18,0,0
/msc-data-skills/joins.html,psyteachr.github.io,9,7,2,1.2857142857142858,56.285714285714285,0,23,0,0
/reprores-v2/repro.html,psyteachr.github.io,9,4,0,2.25,148.75,0,18,0,0
/stat-models-v1/interactions.html,psyteachr.github.io,9,9,0,1,93.22222222222223,0,23,0,0
/template/,psyteachr.github.io,9,6,0,1.5,8.166666666666666,0,19,0,0
/books/,psyteachr.github.io,8,6,5,1.3333333333333333,5.833333333333333,0,27,0,0
/msc-data-skills/tidyr.html,psyteachr.github.io,8,7,2,1.1428571428571428,43.285714285714285,0,20,0,0
/quant-fun-v2/intro-to-data-viz.html,psyteachr.github.io,8,3,0,2.6666666666666665,67.66666666666667,0,17,0,0
/glossary/symbols.html,psyteachr.github.io,7,5,0,1.4,55.6,0,14,0,0
/msc-data-skills/repro.html,psyteachr.github.io,7,3,0,2.3333333333333335,48,0,11,0,0
/quant-fun-v2/factorial-anova.html,psyteachr.github.io,7,6,0,1.1666666666666667,61.5,0,15,0,0
/quant-fun-v2/multiple-regression.html,psyteachr.github.io,7,6,1,1.1666666666666667,77.5,0,23,0,0
/quant-fun-v2/visualisation.html,psyteachr.github.io,7,2,0,3.5,164.5,0,15,0,0
/reprores-v2/func.html,psyteachr.github.io,7,2,0,3.5,9,0,13,0,0
/reprores-v2/glm.html,psyteachr.github.io,7,7,0,1,19.285714285714285,0,16,0,0
/reprores-v2/index.html,psyteachr.github.io,7,4,0,1.75,110.75,0,14,0,0
/reprores-v2/installingr.html,psyteachr.github.io,7,5,0,1.4,60.8,0,18,0,0
/analysis-v2/updating-r-rstudio-and-packages.html,psyteachr.github.io,6,4,0,1.5,22.5,0,12,0,0
/book-template/setup.html,psyteachr.github.io,6,5,3,1.2,28.6,0,18,0,0
/msc-conv/programming-basics.html,psyteachr.github.io,6,1,1,6,227,0,16,0,0
/quant-fun-v2/loading-data.html,psyteachr.github.io,6,3,0,2,93.33333333333333,0,12,0,0
/analysis-v2/acknowledgements.html,psyteachr.github.io,5,3,0,1.6666666666666667,27.333333333333332,0,9,0,0
/analysis-v2/exporting-files-from-the-server.html,psyteachr.github.io,5,4,0,1.25,5.75,0,10,0,0
/data-skills-v1/mega-pipe.html,psyteachr.github.io,5,5,0,1,6.6,0,11,0,0
/msc-data-skills/index.html,psyteachr.github.io,5,3,0,1.6666666666666667,12.333333333333334,0,9,0,0
/quant-fun-v2/one-way-anova.html,psyteachr.github.io,5,2,0,2.5,47,0,9,0,0
/quant-fun-v2/regression.html,psyteachr.github.io,5,4,0,1.25,5.5,0,11,0,0
/reprores-v2/ggplot.html,psyteachr.github.io,5,3,0,1.6666666666666667,178.33333333333334,0,9,0,0
/reprores-v2/tidyr.html,psyteachr.github.io,5,3,0,1.6666666666666667,26.666666666666668,0,9,0,0
/template/intro.html,psyteachr.github.io,5,4,0,1.25,5.5,0,9,0,0
/analysis-v2/license.html,psyteachr.github.io,4,4,0,1,4,0,9,0,0
/analysis-v2/symbols.html,psyteachr.github.io,4,4,0,1,7.5,0,8,0,0
/book-template/webex.html,psyteachr.github.io,4,2,1,2,60.5,0,12,0,0
/data-skills-v1/aq-data-and-recap.html,psyteachr.github.io,4,2,0,2,85.5,0,7,0,0
/data-skills-v1/intro-to-probability.html,psyteachr.github.io,4,3,0,1.3333333333333333,0,0,10,0,0
/index.html,psyteachr.github.io,4,4,1,1,15.5,0,9,0,0
/reprores-v2/exercises.html,psyteachr.github.io,4,2,0,2,29,0,8,0,0
/stat-models-v1/bibliography.html,psyteachr.github.io,4,3,0,1.3333333333333333,29.333333333333332,0,14,0,0
/ads-v1/intro.html,psyteachr.github.io,3,1,0,3,11,0,6,0,0
/ads-v1/reports.html,psyteachr.github.io,3,1,0,3,209,0,5,0,0
/ads-v1/viz.html,psyteachr.github.io,3,1,0,3,12,0,6,0,0
/data-skills-v1/project-analysis.html,psyteachr.github.io,3,2,0,1.5,3.5,0,4,0,0
/data-skills-v1/reshaping-data.html,psyteachr.github.io,3,3,0,1,3.3333333333333335,0,8,0,0
/data-skills-v1/simulation.html,psyteachr.github.io,3,2,0,1.5,853.5,0,5,0,0
/glossary/index.html,psyteachr.github.io,3,2,0,1.5,9.5,0,6,0,0
/msc-conv/,psyteachr.github.io,3,3,3,1,1.3333333333333333,0,10,0,0
/msc-data-skills/installingr.html,psyteachr.github.io,3,3,2,1,7.333333333333333,0,11,0,0
/quant-fun-v2/additional-resources.html,psyteachr.github.io,3,3,0,1,12.666666666666666,0,6,0,0
/quant-fun-v2/citing-r-rstudio.html,psyteachr.github.io,3,3,0,1,25.666666666666668,0,7,0,0
/quant-fun-v2/data-wrangling-2.html,psyteachr.github.io,3,2,0,1.5,12,0,6,0,0
/quant-fun-v2/installing-r.html,psyteachr.github.io,3,2,0,1.5,29.5,0,6,0,0
/quant-fun-v2/probability.html,psyteachr.github.io,3,2,0,1.5,10.5,0,7,0,0
/reprores-v2/dplyr.html,psyteachr.github.io,3,2,0,1.5,25,0,7,0,0
/reprores-v2/glm.html?q=ano,psyteachr.github.io,3,1,0,3,116,0,8,0,0
/reprores-v2/joins.html,psyteachr.github.io,3,3,0,1,7.666666666666667,0,6,0,0
/statswithr/,rstudio-tutorials.eu,3,2,2,1.5,0,0,8,0,0
/template/installing-r.html,psyteachr.github.io,3,3,0,1,6.666666666666667,0,6,0,0
/trdair_workshop/,psyteachr.github.io,3,3,3,1,0,0,9,0,0
/ads-v1/custom.html,psyteachr.github.io,2,1,0,2,11,0,4,0,0
/ads-v1/data-types.html,psyteachr.github.io,2,1,0,2,99,0,5,0,0
/ads-v1/data.html,psyteachr.github.io,2,1,0,2,67,0,4,0,0
/ads-v1/present.html,psyteachr.github.io,2,1,0,2,19,0,4,0,0
/ads-v1/summary.html,psyteachr.github.io,2,1,0,2,3,0,4,0,0
/ads-v1/tidy.html,psyteachr.github.io,2,1,0,2,3,0,3,0,0
/ads-v1/wrangle.html,psyteachr.github.io,2,1,0,2,3,0,4,0,0
/analysis-v2/references.html,psyteachr.github.io,2,2,0,1,3.5,0,4,0,0
/data-skills-v1/installing-r.html,psyteachr.github.io,2,2,0,1,44.5,0,4,0,0
/data-skills-v1/pipes.html,psyteachr.github.io,2,2,0,1,7,0,5,0,0
/data-skills-v1/probability-continued.html,psyteachr.github.io,2,2,0,1,56.5,0,6,0,0
/glossary/c.html,psyteachr.github.io,2,2,0,1,5,0,3,0,0
/glossary/k.html?q=knit,psyteachr.github.io,2,1,0,2,51,0,5,0,0
/glossary/r,psyteachr.github.io,2,1,0,2,52,0,4,0,0
/glossary/t.html,psyteachr.github.io,2,2,0,1,9,0,5,0,0
/msc-data-skills/symbols.html,psyteachr.github.io,2,2,1,1,5,0,5,0,0
/quant-fun-v2/correlation.html,psyteachr.github.io,2,1,0,2,27,0,4,0,0
/quant-fun-v2/data-wrangling-3.html,psyteachr.github.io,2,2,0,1,6.5,0,5,0,0
/quant-fun-v2/t-tests.html,psyteachr.github.io,2,2,0,1,66,0,4,0,0
/reprores-v2/datasets.html,psyteachr.github.io,2,1,0,2,243,0,5,0,0
/stat-models-v1/multiple-regression.html?q=center,psyteachr.github.io,2,2,0,1,0,0,3,0,0
/stat-models-v1/symbols.html,psyteachr.github.io,2,2,0,1,24,0,4,0,0
/template/_main.pdf,psyteachr.github.io,2,2,0,1,2,0,4,0,0
/trdair_workshop/GTA.html,psyteachr.github.io,2,1,1,2,3,0,6,0,0
/ads-v1/index.html,psyteachr.github.io,1,1,0,1,1,0,2,0,0
/ads-v1/next.html,psyteachr.github.io,1,1,0,1,2,0,2,0,0
/ads-v1/wrangle.html,debruine.github.io,1,1,0,1,36,0,3,0,0
/book-template/index.html,psyteachr.github.io,1,1,0,1,6,0,2,0,0
/book-template/symbols.html,psyteachr.github.io,1,1,0,1,16,0,2,0,0
