# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20220327
# End date: 20220402

Page path + query string and screen class,Views
/,405
/ads-v1/wrangle.html,248
/ads-v1/viz.html,236
/ads-v1/tidy.html,218
/ads-v1/summary.html,217
/ads-v1/reports.html,130
/ads-v1/intro.html,123
/30-day-chart-challenge/,117
/ads-v1/data.html,116
/30-day-chart-challenge/part-to-whole.html,110
/ads-v1/joins.html,107
/data-skills-v1/,101
/ads-v1/,99
/msc-data-skills/ggplot.html,95
/quant-fun-v2/data-wrangling-1.html,95
/quant-fun-v2/,91
/ads-v1/index.html,89
/msc-data-skills/glm.html,89
/shinyintro/first-app.html,86
/stat-models-v1/,83
/ads-v1/custom.html,81
/shinyintro/,81
/quant-fun-v2/intro-to-data-visualisation.html,77
/quant-fun-v2/data-wrangling-2.html,75
/quant-fun-v2/data-wrangling-3.html,71
/quant-fun-v2/t-tests.html,67
/ug2-practical/within-subjects-t-test.html,66
/ads-v1/twitter-hashtags.html,65
/analysis-v2/,62
/30-day-chart-challenge/pictogram.html,59
/shinyintro/index.html,57
/introdataviz/transforming-data.html,56
/ads-v1/twitter-data.html,54
/introdataviz/advanced-plots.html,52
/quant-fun-v2/starting-with-data.html,52
/shiny-tutorials/01-first-app.html,52
/quant-fun-v2/correlations.html,51
/reprores-v2/,50
/shinyintro/shinydashboard.html,48
/shinyintro/installing-r.html,43
/handyworkbook/,42
/msc-data-skills/sim.html,41
/quant-fun-v2/power-and-effect-sizes.html,41
/stat-models-v1/introducing-linear-mixed-effects-models.html,41
/shinyintro/outputs.html,39
/shinyintro/data.html,38
/introdataviz/representing-summary-statistics.html,37
/shinyintro/inputs.html,36
/data-skills-v1/getting-to-know-the-data.html,34
/introdataviz/,33
/shinyintro/reports.html,33
/stat-models-v1/generalized-linear-mixed-effects-models.html,33
/ads-v1/practice-report.html,31
/data-skills-v1/data-wrangling-1.html,31
/stat-models-v1/interactions.html,31
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,29
/quant-fun-v2/probability.html,28
/stat-models-v1/correlation-and-regression.html,27
/analysis-v2/data-wrangling-a-key-skill.html,26
/stat-models-v1/index.html,26
/data-skills-v1/probability-continued.html,24
/reprores-v2/intro.html,24
/DTHCB/,23
/analysis-v2/correlations.html,23
/introdataviz/multi-part-plots.html,23
/quant-fun-v2/intro-to-r.html,23
/quant-fun-v2/visualisation.html,23
/30-day-chart-challenge/historical.html,22
/30-day-chart-challenge/index.html,22
/analysis-v2/one-way-anova.html,22
/quant-fun-v2/programming-basics.html,22
